word,frozen_intra_class_cosine,finetuned_intra_class_cosine
অন্ডাল,0.7773653864860535,0.5637328028678894
আনুলিয়া,0.8044100403785706,0.5255229473114014
আমরে,0.778519868850708,0.594478189945221
আরগারি,0.7332798838615417,0.5565721988677979
আলিপুর,0.8003911972045898,0.4738147258758545
কল্যানচাক,0.867852509021759,0.603003978729248
কাঁথি,0.8382984399795532,0.5270167589187622
কাপাসদা,0.8058599829673767,0.681198239326477
কালীঘাট,0.6643927693367004,0.5253543853759766
কাশ্বগলা,0.8366095423698425,0.6050508618354797
কুচনী,0.850102961063385,0.6923341751098633
কুড়িপাড়া,0.7817119359970093,0.5159538984298706
কুম্রুল,0.7958235144615173,0.49212491512298584
কুসুমবা,0.8693879246711731,0.6324262619018555
কেশবচক,0.7320665717124939,0.7145720720291138
কৈলাশপুর,0.7548184394836426,0.5008028745651245
খগেনহাট,0.8490239381790161,0.5317417979240417
খারিদুনগরী,0.7965468168258667,0.44022563099861145
খোপকাটি,0.8007726669311523,0.4634709656238556
খোসালপুর,0.7111250162124634,0.5966086983680725
গোদরা,0.7479843497276306,0.6723781228065491
গোপালপুর,0.7531708478927612,0.5837077498435974
গোসিনডিহ,0.7731502056121826,0.5738828182220459
ঘসলে,0.8206867575645447,0.6968085765838623
ঘোড়াডাগা,0.8195781111717224,0.5768311023712158
চাঁপাডাঙগা,0.7668840289115906,0.4783366024494171
চাকদিঘি,0.8544943928718567,0.5349051356315613
জধুবেড়িয়া,0.7891780138015747,0.5248965620994568
জয়পুর,0.7787030339241028,0.539189875125885
জাগন্নাথপুর,0.8436765670776367,0.6244388818740845
জোরেপাটকি,0.7766036987304688,0.4507615864276886
ডুমুরতরে,0.7970336675643921,0.6874288320541382
তাজপুর,0.805236279964447,0.5568815469741821
তালদি,0.7905246019363403,0.6299595832824707
দরিয়াপুর,0.781520426273346,0.5070726871490479
দারকুলি,0.7759393453598022,0.5162984132766724
দারোন্দা,0.7830711603164673,0.6052300930023193
দূর্গাপুর,0.7600650191307068,0.48391640186309814
দেপাল,0.7835915088653564,0.534489631652832
দেবনান্দপুর,0.8036133646965027,0.6932005286216736
