query_word,description,hit@1,hit@5,rank_of_first_correct_hit,n_test_images_with_this_word,top1_word,top1_sim,top2_word,top2_sim,top3_word,top3_sim,top4_word,top4_sim,top5_word,top5_sim,figure
কাপাসদা,"shape one is present seven times, shape two is present seven times, shape three is present one times, shape four is present zero times, shape five is present zero times, shape six is present two times, shape seven is present one times, shape eight is present two times, shape nine is present zero times, shape ten is present three times, shape eleven is present zero times, shape twelve is present zero times, shape thirteen is present zero times. The first character is ক, The second character is া, The third character is প, The fourth character is া, The fifth character is স, The sixth character is দ, The seventh character is া.
",False,False,273,6,কুচনী,0.175,কুচনী,0.1695,কুচনী,0.1585,কুচনী,0.1397,কুচনী,0.1393,00_কাপাসদা.png
আনুলিয়া,"shape one is present six times, shape two is present six times, shape three is present four times, shape four is present one times, shape five is present zero times, shape six is present one times, shape seven is present three times, shape eight is present one times, shape nine is present one times, shape ten is present one times, shape eleven is present one times, shape twelve is present one times, shape thirteen is present zero times. The first character is আ, The second character is ন, The third character is ু, The fourth character is ল, The fifth character is ি, The sixth character is য়, The seventh character is া.
",False,False,72,9,কুচনী,0.1846,কুচনী,0.173,কুচনী,0.1712,কুচনী,0.1601,কুচনী,0.154,01_আনুলিয়া.png
খারিদুনগরী,"shape one is present nine times, shape two is present nine times, shape three is present four times, shape four is present one times, shape five is present zero times, shape six is present one times, shape seven is present four times, shape eight is present four times, shape nine is present two times, shape ten is present three times, shape eleven is present one times, shape twelve is present one times, shape thirteen is present one times. The first character is খ, The second character is া, The third character is র, The fourth character is ি, The fifth character is দ, The sixth character is ু, The seventh character is ন, The eighth character is গ, The ninth character is র, The tenth character is ী.
",False,False,96,11,কুচনী,0.1839,কুচনী,0.1748,কুচনী,0.1716,কুচনী,0.16,কুচনী,0.1576,02_খারিদুনগরী.png
কৈলাশপুর,"shape one is present six times, shape two is present six times, shape three is present three times, shape four is present zero times, shape five is present one times, shape six is present one times, shape seven is present four times, shape eight is present two times, shape nine is present one times, shape ten is present three times, shape eleven is present one times, shape twelve is present zero times, shape thirteen is present zero times. The first character is ক, The second character is ৈ, The third character is ল, The fourth character is া, The fifth character is শ, The sixth character is প, The seventh character is ু, The eighth character is র.
",False,False,235,9,কুচনী,0.1851,কুচনী,0.1724,কুচনী,0.1712,কুচনী,0.1617,কুচনী,0.1549,03_কৈলাশপুর.png
কেশবচক,"shape one is present five times, shape two is present five times, shape three is present one times, shape four is present one times, shape five is present one times, shape six is present two times, shape seven is present three times, shape eight is present three times, shape nine is present zero times, shape ten is present four times, shape eleven is present zero times, shape twelve is present zero times, shape thirteen is present zero times. The first character is ক, The second character is ে, The third character is শ, The fourth character is ব, The fifth character is চ, The sixth character is ক.
",False,False,180,7,কুচনী,0.1803,কুচনী,0.1687,কুচনী,0.1663,কুচনী,0.1514,কুচনী,0.1441,04_কেশবচক.png
কালীঘাট,"shape one is present seven times, shape two is present seven times, shape three is present three times, shape four is present one times, shape five is present one times, shape six is present one times, shape seven is present two times, shape eight is present two times, shape nine is present zero times, shape ten is present two times, shape eleven is present zero times, shape twelve is present zero times, shape thirteen is present one times. The first character is ক, The second character is া, The third character is ল, The fourth character is ী, The fifth character is ঘ, The sixth character is া, The seventh character is ট.
",False,False,169,6,কুচনী,0.1801,কুচনী,0.1742,কুচনী,0.168,কুচনী,0.1508,কুচনী,0.1498,05_কালীঘাট.png
কাঁথি,"shape one is present four times, shape two is present four times, shape three is present two times, shape four is present one times, shape five is present zero times, shape six is present two times, shape seven is present two times, shape eight is present two times, shape nine is present one times, shape ten is present one times, shape eleven is present zero times, shape twelve is present one times, shape thirteen is present zero times. The first character is ক, The second character is া, The third character is ঁ, The fourth character is থ, The fifth character is ি.
",False,False,11,8,কুচনী,0.1786,কুচনী,0.1633,কুচনী,0.1626,কুচনী,0.1519,কুচনী,0.1413,06_কাঁথি.png
কল্যানচাক,"shape one is present eight times, shape two is present eight times, shape three is present two times, shape four is present one times, shape five is present zero times, shape six is present two times, shape seven is present four times, shape eight is present three times, shape nine is present zero times, shape ten is present four times, shape eleven is present zero times, shape twelve is present zero times, shape thirteen is present zero times. The first character is ক, The second character is ল, The third character is ্, The fourth character is য, The fifth character is া, The sixth character is ন, The seventh character is চ, The eighth character is া, The ninth character is ক.
",False,False,307,9,কুচনী,0.1843,কুচনী,0.1759,কুচনী,0.1715,কুচনী,0.1613,কুচনী,0.1611,07_কল্যানচাক.png
জধুবেড়িয়া,"shape one is present seven times, shape two is present six times, shape three is present one times, shape four is present two times, shape five is present three times, shape six is present zero times, shape seven is present four times, shape eight is present three times, shape nine is present two times, shape ten is present three times, shape eleven is present one times, shape twelve is present one times, shape thirteen is present zero times. The first character is জ, The second character is ধ, The third character is ু, The fourth character is ব, The fifth character is ে, The sixth character is ড়, The seventh character is ি, The eighth character is য়, The ninth character is া.
",False,False,26,12,কুচনী,0.1824,কুচনী,0.1732,কুচনী,0.1703,কুচনী,0.1591,কুচনী,0.1552,08_জধুবেড়িয়া.png
দেপাল,"shape one is present four times, shape two is present four times, shape three is present two times, shape four is present zero times, shape five is present one times, shape six is present zero times, shape seven is present zero times, shape eight is present one times, shape nine is present zero times, shape ten is present one times, shape eleven is present zero times, shape twelve is present zero times, shape thirteen is present zero times. The first character is দ, The second character is ে, The third character is প, The fourth character is া, The fifth character is ল.
",False,False,6,12,কুচনী,0.1731,কুচনী,0.1598,কুচনী,0.1536,কুচনী,0.1393,কুচনী,0.1304,09_দেপাল.png
