query_word,description,hit@1,hit@5,rank_of_first_correct_hit,n_test_images_with_this_word,top1_word,top1_sim,top2_word,top2_sim,top3_word,top3_sim,top4_word,top4_sim,top5_word,top5_sim,figure
কাপাসদা,কাপাসদা,True,True,1,6,কাপাসদা,0.1848,কাপাসদা,0.1846,কাপাসদা,0.1831,কাপাসদা,0.1805,কাশ্বগলা,0.1771,00_কাপাসদা.png
আনুলিয়া,আনুলিয়া,True,True,1,9,আনুলিয়া,0.1792,আনুলিয়া,0.1774,আনুলিয়া,0.1764,আনুলিয়া,0.1732,আনুলিয়া,0.1724,01_আনুলিয়া.png
খারিদুনগরী,খারিদুনগরী,True,True,1,12,খারিদুনগরী,0.151,খারিদুনগরী,0.1464,খারিদুনগরী,0.1443,খারিদুনগরী,0.143,জাগন্নাথপুর,0.1416,02_খারিদুনগরী.png
কৈলাশপুর,কৈলাশপুর,False,True,5,9,কেশবচক,0.1516,দেবনান্দপুর,0.1491,দেবনান্দপুর,0.1486,দূর্গাপুর,0.1465,কৈলাশপুর,0.1458,03_কৈলাশপুর.png
কেশবচক,কেশবচক,False,True,3,8,কাঁথি,0.1707,ঘসলে,0.1677,কেশবচক,0.1626,কাঁথি,0.1577,তালদি,0.1558,04_কেশবচক.png
কালীঘাট,কালীঘাট,False,False,8,5,খগেনহাট,0.1627,কল্যানচাক,0.161,খগেনহাট,0.1603,খগেনহাট,0.1596,খগেনহাট,0.1573,05_কালীঘাট.png
কাঁথি,কাঁথি,False,True,4,9,আরগারি,0.171,দরিয়াপুর,0.1655,আরগারি,0.1641,কাঁথি,0.1632,দরিয়াপুর,0.1624,06_কাঁথি.png
কল্যানচাক,কল্যানচাক,False,True,2,8,খগেনহাট,0.1646,কল্যানচাক,0.1644,কল্যানচাক,0.1605,কল্যানচাক,0.1594,খগেনহাট,0.159,07_কল্যানচাক.png
জধুবেড়িয়া,জধুবেড়িয়া,True,True,1,12,জধুবেড়িয়া,0.1681,জধুবেড়িয়া,0.1643,জধুবেড়িয়া,0.1643,জধুবেড়িয়া,0.1638,জধুবেড়িয়া,0.1592,08_জধুবেড়িয়া.png
দেপাল,দেপাল,True,True,1,12,দেপাল,0.1715,দেপাল,0.1714,দেপাল,0.1652,দেপাল,0.1641,দেপাল,0.1637,09_দেপাল.png
