query_word,description,hit@1,hit@5,rank_of_first_correct_hit,n_test_images_with_this_word,top1_word,top1_sim,top2_word,top2_sim,top3_word,top3_sim,top4_word,top4_sim,top5_word,top5_sim,figure
কাপাসদা,কাপাসদা,False,False,10,6,কাশ্বগলা,0.1489,কৈলাশপুর,0.1329,গোদরা,0.1238,কাশ্বগলা,0.1191,কাশ্বগলা,0.1159,00_কাপাসদা.png
আনুলিয়া,আনুলিয়া,True,True,1,9,আনুলিয়া,0.155,আলিপুর,0.1407,আনুলিয়া,0.138,আরগারি,0.1368,আনুলিয়া,0.1294,01_আনুলিয়া.png
খারিদুনগরী,খারিদুনগরী,True,True,1,12,খারিদুনগরী,0.1365,খারিদুনগরী,0.1182,জধুবেড়িয়া,0.1162,জধুবেড়িয়া,0.109,জধুবেড়িয়া,0.1089,02_খারিদুনগরী.png
কৈলাশপুর,কৈলাশপুর,False,True,2,9,জধুবেড়িয়া,0.0953,কৈলাশপুর,0.0932,খারিদুনগরী,0.0914,চাঁপাডাঙগা,0.0903,কল্যানচাক,0.0897,03_কৈলাশপুর.png
কেশবচক,কেশবচক,False,True,4,9,কুম্রুল,0.1419,কুম্রুল,0.1365,কুসুমবা,0.1283,কেশবচক,0.1236,কেশবচক,0.1202,04_কেশবচক.png
কালীঘাট,কালীঘাট,False,False,24,6,জধুবেড়িয়া,0.0953,কৈলাশপুর,0.0932,খারিদুনগরী,0.0914,চাঁপাডাঙগা,0.0903,কল্যানচাক,0.0897,05_কালীঘাট.png
কাঁথি,কাঁথি,False,True,2,9,কুম্রুল,0.1387,কাঁথি,0.1317,দারকুলি,0.1269,দূর্গাপুর,0.1222,কাঁথি,0.1185,06_কাঁথি.png
কল্যানচাক,কল্যানচাক,False,True,3,9,কুম্রুল,0.1282,কেশবচক,0.1007,কল্যানচাক,0.1006,কাশ্বগলা,0.0929,জাগন্নাথপুর,0.0884,07_কল্যানচাক.png
জধুবেড়িয়া,জধুবেড়িয়া,True,True,1,11,জধুবেড়িয়া,0.176,জধুবেড়িয়া,0.1734,জধুবেড়িয়া,0.1629,খারিদুনগরী,0.161,জধুবেড়িয়া,0.1442,08_জধুবেড়িয়া.png
দেপাল,দেপাল,True,True,1,12,দেপাল,0.147,গোদরা,0.1455,গোদরা,0.1428,দেপাল,0.1402,দারোন্দা,0.1373,09_দেপাল.png
