model_family,run_number,description_mode,loss_func,optimizer,lr_scheduler,lr,batch_size,accumulation_steps,effective_batch_size,augmented,n_test_images,n_text_queries,qbs_mAP,qbs_Recall@1,qbs_Recall@5,qbs_Recall@10,qbe_mAP,qbe_Recall@1,qbe_Recall@5,qbe_Recall@10,model_dir
ALIGN,1,word,supcon,adam,cosine_warmup,1e-05,8,16,128,True,384,384,0.3405993102091531,0.044270833333333336,0.1796875,0.296875,0.3921648249631195,0.09562045304232804,0.27020897216209716,0.35805591254810004,saved_models/align-fine-tune/fold_3_aug_square/1
ALIGN,2,word,supcon,adam,cosine_warmup,1e-05,8,16,128,True,384,384,0.18530591630549267,0.020833333333333332,0.09114583333333333,0.18229166666666666,0.2960639739773074,0.088018860479798,0.21699218750000002,0.2819063026094276,saved_models/align-fine-tune/fold_3_aug_square/2
ALIGN,3,phosc_number,supcon,adam,cosine_warmup,1e-05,8,16,128,True,384,384,0.04652138884676218,0.0026041666666666665,0.010416666666666666,0.026041666666666668,0.32992251314179183,0.08652559824434825,0.22941797062890812,0.30919734923641173,saved_models/align-fine-tune/fold_3_aug_square/3
ALIGN,4,description,supcon,adam,cosine_warmup,1e-05,8,16,128,True,384,384,0.06253063544519007,0.0026041666666666665,0.013020833333333334,0.026041666666666668,0.5319351029172416,0.10066438191438191,0.33704990755772,0.48782777552308804,saved_models/align-fine-tune/fold_3_aug_square/4
ALIGN,5,description_long,supcon,adam,cosine_warmup,1e-05,8,16,128,True,384,384,0.06429652004177246,0.0026041666666666665,0.013020833333333334,0.026041666666666668,0.5135712816815249,0.10059514414983166,0.32729921987734484,0.4703874684343434,saved_models/align-fine-tune/fold_3_aug_square/5
CLIP,1,word,triplet,adam,cosine,1e-10,16,4,64,True,384,384,0.045551784948078676,0.0026041666666666665,0.015625,0.0234375,0.17808239480103719,0.060481113215488214,0.13862781460437712,0.18045362478956228,saved_models/clip-fine-tune/fold_3_aug_square/1
CLIP,2,word,triplet,adam,cosine,1e-05,16,4,64,True,384,384,0.04374370856127263,0.0026041666666666665,0.010416666666666666,0.028645833333333332,0.03927232493540613,0.002387152777777778,0.01129458648989899,0.02390769675925926,saved_models/clip-fine-tune/fold_3_aug_square/2
CLIP,4,word,supcon,adam,cosine,1e-05,13,4,52,True,384,384,0.04661787919463939,0.005208333333333333,0.020833333333333332,0.0234375,0.05649974516372602,0.007471853956228955,0.03365556607744108,0.056445970117845114,saved_models/clip-fine-tune/fold_3_aug_square/4
CLIP,5,word,contrastive,adam,cosine,1e-05,1,32,32,True,384,384,0.4791908996423479,0.06770833333333333,0.2838541666666667,0.4296875,0.504882557624337,0.08725292358104857,0.32794650372775375,0.4742111404220779,saved_models/clip-fine-tune/fold_3_aug_square/5
CLIP,6,word,contrastive,adam,cosine,1e-05,1,32,32,True,384,384,0.5260625987263249,0.07031250000000001,0.2942708333333333,0.4947916666666667,0.5444632714835328,0.08717513678451179,0.3535754682239057,0.5250335385101009,saved_models/clip-fine-tune/fold_3_aug_square/6
CLIP,7,word,supcon,adam,cosine_warmup,1e-05,32,2,64,True,384,384,0.044357196426761614,0.0026041666666666665,0.013020833333333334,0.026041666666666668,0.06828293734406071,0.013619265572390573,0.04353758943602693,0.07194339225589226,saved_models/clip-fine-tune/fold_3_aug_square/7
CLIP,8,word,supcon,adam,cosine_warmup,1e-05,32,2,64,True,384,384,0.6142857480134359,0.06510416666666667,0.328125,0.5677083333333334,0.7884982101631977,0.10311053240740742,0.47275028935185187,0.7445595275673401,saved_models/clip-fine-tune/fold_3_aug_square/8
